Film,Actor,Director,Screenwriter
Жанна Д'Арк на костре,Ингрид Бергман,Роберто Росселлини,Поль Клодель
Страх,Ингрид Бергман,Роберто Росселлини,Стефан Цвейг
Путешествие в Италию,Ингрид Бергман,Роберто Росселлини,Виталиано Бранкати
Европа 51,Ингрид Бергман,Роберто Росселлини,Роберто Росселлини
"Стромболи, земля Божья",Ингрид Бергман,Роберто Росселлини,Роберто Росселлини
Под знаком Козерога,Ингрид Бергман,Альфред Хичкок,Джон Колтон
Жанна Д'Арк,Ингрид Бергман,Виктор Флеминг,Максвелл Андерсон
Триумфальная арка,Ингрид Бергман,Льюис Майлстоун,Льюис Майлстоун
Саратогская железнодорожная ветка,Гэри Купер,Сэм Вуд,Кэйси Робинсон
Колокола Святой Марии,Бинг Кросби,Лео МакКери,Дадли Николс
Завороженный,Ингрид Бергман,Альфред Хичкок,Бен Хект
Газовый свет,Ингрид Бергман,Джордж Кьюкор,Джон Вэн Друтен
По ком звонит колокол,Гэри Купер,Сэм Вуд,Дадли Николс
Доктор Джекилл и мистер Хайд,Спенсер Трэйси,Виктор Флеминг,Джон Ли Мэхин
У Адама было четыре сына,Ингрид Бергман,Григорий Ратов,Уильям Хёрлбат
Ярость в небесах,Роберт Монтгомери,В.С. Ван Дайк,Кристофер Ишервуд
Интермеццо,Лесли Говард,Григорий Ратов,Джордж О’Нил
Лицо женщины,Ингрид Бергман,Густаф Муландер,Франсис де Круассе
Четыре стипендиата,Ингрид Бергман,Карл Фрёлих,Йохен Хут
Доллар,Ингрид Бергман,Густаф Муландер,Яльмар Бергман
Интермеццо,Геста Экман,Густаф Муландер,Геста Стивенс
Сведенхельмы,Геста Экман,Густаф Муландер,Яльмар Бергман
Прибой,Ингрид Бергман,Ивар Йоханссон,Ивар Йоханссон
Лев Термен: Электронная одиссея,Леон Термен,Стивен М. Мартин,Стивен М. Мартин
Ингрид,Джон Гилгуд,Джин Фельдман,Джин Фельдман
В лабиринте секса,Орхидея Де Сантис,Альфонсо Брешия,Джорджо Карло Росси
Богини любви,Карл Кинг,Сол Дж. Тьюрелл,Грэм Фергюсон
Мы — женщины,Ингрид Бергман,Джанни Франчолини,Чезаре Дзаваттини
Вот это развлечение! Часть 2,Фред Астер,Джин Келли,Леонард Герш
"Иди, а не беги",Кэри Грант,Чарльз Уолтерс,Роберт Расселл
Папа Гусь,Кэри Грант,Ральф Нельсон,Питер Стоун
Этот мех норки,Кэри Грант,Делберт Манн,Стэнли Шапиро
Трава зеленее,Кэри Грант,Стэнли Донен,Хью Уильямс
