Film,Actor,Director,Screenwriter
Лиззи Магуайр,Хилари Дафф,Джим Фолл,Сьюзэн Эстель Джэнсен
Матрица,Киану Ривз,Лана Вачовски,Лилли Вачовски
Клад,Сигурни Уивер,Эндрю Дэвис,Луис Сачар
Управление гневом,Адам Сэндлер,Питер Сигал,Дэвид Дорфман
Афера,Эдвард Бёрнс,Джеймс Фоули,Даг Джанг
Телефонная будка,Колин Фаррелл,Джоэл Шумахер,Ларри Коэн
Рекрут,Аль Пачино,Роджер Дональдсон,Роджер Таун
Разыскиваются в Малибу,Джейми Кеннеди,Джон Уайтселл,Факс Бар
Тупой и еще тупее тупого: Когда Гарри встретил Ллойда,Эрик Кристиан Олсен,Трой Миллер,Дэнни Байерс
Эквилибриум,Кристиан Бэйл,Курт Уиммер,Курт Уиммер
Дежурный папа,Эдди Мерфи,Стив Карр,Джефф Родкей
Пуленепробиваемый,Чоу Юнь-Фат,Пол Хантер,Этан Райфф
Властелин колец: Две крепости,Элайджа Вуд,Питер Джексон,Дж.Р.Р. Толкин
"Играй, как Бекхэм",Парминдер К. Награ,Гуриндер Чадха,Гуриндер Чадха
Цыпочка,Роб Шнайдер,Том Брэди,Том Брэди
Славные парни,Роберт Де Ниро,Мартин Скорсезе,Николас Пиледжи
Красота по-американски,Кевин Спейси,Сэм Мендес,Алан Болл
Головокружение,Джеймс Стюарт,Альфред Хичкок,Алек Коппель
Сансет бульвар,Уильям Холден,Билли Уайлдер,Чарльз Брэкетт
Апокалипсис сегодня,Марлон Брандо,Фрэнсис Форд Коппола,Джон Милиус
Пианист,Эдриан Броуди,Роман Полански,Рональд Харвуд
В джазе только девушки,Мэрилин Монро,Билли Уайлдер,Билли Уайлдер
Убить пересмешника,Грегори Пек,Роберт Маллиган,Харпер Ли
Таксист,Роберт Де Ниро,Мартин Скорсезе,Пол Шредер
Третий человек,Джозеф Коттен,Кэрол Рид,Грэм Грин
Тропы славы,Кирк Дуглас,Стэнли Кубрик,Стэнли Кубрик
Бойцовский клуб,Эдвард Нортон,Дэвид Финчер,Чак Паланик
Подводная лодка,Юрген Прохнов,Вольфганг Петерсен,Вольфганг Петерсен
Секреты Лос-Анджелеса,Рассел Кроу,Кёртис Хэнсон,Джеймс Эллрой
Двойная страховка,Фред Макмюррей,Билли Уайлдер,Билли Уайлдер
Китайский квартал,Джек Николсон,Роман Полански,Роберт Таун
Мальтийский сокол,Хамфри Богарт,Джон Хьюстон,Джон Хьюстон
Реквием по мечте,Джаред Лето,Даррен Аронофски,Хьюберт Селби мл.
Поющие под дождем,Джин Келли,Стэнли Донен,Бетти Комден
Мост через реку Квай,Алек Гиннесс,Дэвид Лин,Пьер Буль
Унесённые призраками,Руми Хиираги,Хаяо Миядзаки,Хаяо Миядзаки
Спасти рядового Райана,Том Хэнкс,Стивен Спилберг,Роберт Родат
Всё о Еве,Бетт Дэвис,Джозеф Лео Манкевич,Джозеф Лео Манкевич
М убийца,Петер Лорре,Фриц Ланг,Теа фон Харбоу
Бешеный бык,Роберт Де Ниро,Мартин Скорсезе,Джейк ЛаМотта
Монти Пайтон и Священный Грааль,Грэм Чепмен,Терри Гиллиам,Грэм Чепмен
Однажды на Диком Западе,Чарльз Бронсон,Серджио Леоне,Серджо Донати
Семь,Брэд Питт,Дэвид Финчер,Эндрю Кевин Уокер
"Крадущийся тигр, затаившийся дракон",Чоу Юнь-Фат,Энг Ли,Ван Хуэйлин
Волшебник страны Оз,Джуди Гарлэнд,Виктор Флеминг,Ноэль Лэнгли
2001 год: Космическая одиссея,Кир Дуллеа,Стэнли Кубрик,Стэнли Кубрик
Жизнь прекрасна,Роберто Бениньи,Роберто Бениньи,Винченцо Черами
Американская история X,Эдвард Нортон,Тони Кэй,Дэвид МакКенна
Афера,Пол Ньюман,Джордж Рой Хилл,Дэвид С. Уорд
Печать зла,Чарлтон Хестон,Орсон Уэллс,Орсон Уэллс
Маньчжурский кандидат,Фрэнк Синатра,Джон Франкенхаймер,Ричард Кондон
Чужой,Сигурни Уивер,Ридли Скотт,Дэн О’Бэннон
Мистер Смит едет в Вашингтон,Джеймс Стюарт,Фрэнк Капра,Сидни Бакмен
Расёмон,Тосиро Мифунэ,Акира Куросава,Рюносукэ Акутагава
Леон,Жан Рено,Люк Бессон,Люк Бессон
Энни Холл,Вуди Аллен,Вуди Аллен,Вуди Аллен
Заводной апельсин,Малкольм Макдауэлл,Стэнли Кубрик,Стэнли Кубрик
Большой побег,Стив МакКуин,Джон Стёрджес,Пол Брикхилл
Сокровища Сьерра Мадре,Хамфри Богарт,Джон Хьюстон,Джон Хьюстон
Бешеные псы,Харви Кейтель,Квентин Тарантино,Квентин Тарантино
Шестое чувство,Брюс Уиллис,М. Найт Шьямалан,М. Найт Шьямалан
Челюсти,Рой Шайдер,Стивен Спилберг,Питер Бенчли
Амадей,Том Халс,Милош Форман,Питер Шеффер
В порту,Марлон Брандо,Элиа Казан,Бадд Шульберг
Храброе сердце,Мэл Гибсон,Мэл Гибсон,Рэндалл Уоллес
Ран,Тацуя Накадаи,Акира Куросава,Акира Куросава
Ровно в полдень,Гэри Купер,Фред Циннеман,Карл Форман
Фарго,Фрэнсис Макдорманд,Джоэл Коэн,Итан Коэн
Бегущий по лезвию,Харрисон Форд,Ридли Скотт,Хэмптон Фанчер
Квартира,Джек Леммон,Билли Уайлдер,Билли Уайлдер
История игрушек 2,Том Хэнкс,Джон Лассетер,Джо Рэнфт
Чужие,Сигурни Уивер,Джеймс Кэмерон,Джеймс Кэмерон
Незнакомцы в поезде,Фарли Грейнджер,Альфред Хичкок,Рэймонд Чандлер
Новые времена,Чарльз Чаплин,Чарльз Чаплин,Чарльз Чаплин
Сияние,Джек Николсон,Стэнли Кубрик,Стивен Кинг
Донни Дарко,Джейк Джилленхол,Ричард Келли,Ричард Келли
Утиный суп,Братья Маркс,Лео МакКери,Берт Кальмар
Принцесса-невеста,Кэри Элвес,Роб Райнер,Уильям Голдман
"Беги, Лола, беги",Франка Потенте,Том Тыквер,Том Тыквер
Огни большого города,Вирджиния Черрилл,Чарльз Чаплин,Чарльз Чаплин
Паровоз Генерал,Бастер Китон,Клайд Брукман,Бастер Китон
Искатели,Джон Уэйн,Джон Форд,Фрэнк С. Наджент
Метрополис,Альфред Абель,Фриц Ланг,Теа фон Харбоу
Цельнометаллическая оболочка,Мэттью Модайн,Стэнли Кубрик,Стэнли Кубрик
Дурная слава,Кэри Грант,Альфред Хичкок,Бен Хект
Манхэттен,Вуди Аллен,Вуди Аллен,Вуди Аллен
Буч Кэссиди и Сандэнс Кид,Пол Ньюман,Джордж Рой Хилл,Уильям Голдман
Выпускник,Энн Бэнкрофт,Майк Николс,Колдер Уиллингэм
Глубокий сон,Хамфри Богарт,Ховард Хоукс,Уильям Фолкнер
Новый кинотеатр «Парадизо»,Филипп Нуаре,Джузеппе Торнаторе,Джузеппе Торнаторе
Седьмая печать,Гуннар Бьёрнстранд,Ингмар Бергман,Ингмар Бергман
Ребекка,Лоуренс Оливье,Альфред Хичкок,Дафна Дю Морье
Доблесть,Мэттью Бродерик,Эдвард Цвик,Кевин Жарр
Охотник на оленей,Роберт Де Ниро,Майкл Чимино,Майкл Чимино
Лучшие годы нашей жизни,Фредрик Марч,Уильям Уайлер,Роберт Э. Шервуд
Шрэк,Майк Майерс,Эндрю Адамсон,Уильям Стейг
Великий диктатор,Чарльз Чаплин,Чарльз Чаплин,Чарльз Чаплин
Похитители велосипедов,Ламберто Маджорани,Витторио Де Сика,Чезаре Дзаваттини
Паттон,Джордж К. Скотт,Франклин Дж. Шаффнер,Фрэнсис Форд Коппола
Африканская королева,Хамфри Богарт,Джон Хьюстон,Сесил Скотт Форестер
Зеленая миля,Том Хэнкс,Фрэнк Дарабонт,Стивен Кинг
Бен-Гур,Чарлтон Хестон,Уильям Уайлер,Лью Уоллес
Это случилось однажды ночью,Кларк Гейбл,Фрэнк Капра,Роберт Рискин
Филадельфийская история,Кэри Грант,Джордж Кьюкор,Доналд Огден Стюарт
Город бога,Алешандре Родригис,Фернанду Мейреллиш,Паолу Линс
Воспитание Крошки,Кэтрин Хепберн,Ховард Хоукс,Дадли Николс
Принцесса Мононоке,Ёдзи Мацуда,Хаяо Миядзаки,Хаяо Миядзаки
Простая история,Ричард Фарнсуорт,Дэвид Линч,Джон Роуч
Хладнокровный Люк,Пол Ньюман,Стюарт Розенберг,Донн Пирс
Терминатор 2: Судный день,Арнольд Шварценеггер,Джеймс Кэмерон,Джеймс Кэмерон
Телохранитель,Тосиро Мифунэ,Акира Куросава,Акира Куросава
Гроздья гнева,Генри Фонда,Джон Форд,Наннэлли Джонсон
Звёздные войны: Эпизод 6 — Возвращение Джедая,Марк Хэмилл,Ричард Маркуанд,Лоуренс Кэздан
Форрест Гамп,Том Хэнкс,Роберт Земекис,Уинстон Грум
Мышьяк и старые кружева,Кэри Грант,Фрэнк Капра,Джулиус Дж. Эпштейн
Дикая банда,Уильям Холден,Сэм Пекинпа,Уэйлон Грин
Непрощенный,Клинт Иствуд,Клинт Иствуд,Дэвид Уэбб Пиплз
Рождественская история,Питер Биллингсли,Боб Кларк,Дж. Шеперд
Ночь охотника,Роберт Митчем,Чарльз Лотон,Дэвис Грабб
Почти знаменит,Патрик Фьюджит,Кэмерон Кроу,Кэмерон Кроу
Молодой Франкенштейн,Джин Уайлдер,Мэл Брукс,Джин Уайлдер
Унесённые ветром,Вивьен Ли,Виктор Флеминг,Маргарет Митчелл
Лагерь для военнопленных №17,Уильям Холден,Билли Уайлдер,Билли Уайлдер
Корпорация монстров,Джон Гудман,Пит Доктер,Пит Доктер
Бильярдист,Пол Ньюман,Роберт Россен,Сидни Кэрролл
На Западном фронте без перемен,Луис Волхайм,Льюис Майлстоун,Эрих Мария Ремарк
Разговор,Джин Хэкмен,Фрэнсис Форд Коппола,Фрэнсис Форд Коппола
Быть Джоном Малковичем,Джон Кьюсак,Спайк Джонс,Чарли Кауфман
Поговори с ней,Дарио Грандинетти,Педро Альмодовар,Педро Альмодовар
Человек-слон,Энтони Хопкинс,Дэвид Линч,Кристофер Де Вор
Торжество,Ульрих Томсен,Томас Винтерберг,Томас Винтерберг
Малхолланд Драйв,Наоми Уоттс,Дэвид Линч,Дэвид Линч
Свой человек,Аль Пачино,Майкл Манн,Мари Бреннер
Взвод,Чарли Шин,Оливер Стоун,Оливер Стоун
Однажды в Америке,Роберт Де Ниро,Серджио Леоне,Гарри Грей
Его девушка Пятница,Кэри Грант,Ховард Хоукс,Чарльз Ледерер
Крепкий орешек,Брюс Уиллис,Джон Мактирнан,Родерик Торп
Индиана Джонс и последний крестовый поход,Харрисон Форд,Стивен Спилберг,Джеффри Боум
Великая иллюзия,Жан Габен,Жан Ренуар,Шарль Спак
Гладиатор,Рассел Кроу,Ридли Скотт,Дэвид Францони
Спартак,Кирк Дуглас,Стэнли Кубрик,Далтон Трамбо
Назад в будущее,Майкл Дж. Фокс,Роберт Земекис,Роберт Земекис
Магнолия,Том Круз,Пол Томас Андерсон,Пол Томас Андерсон
Золотая лихорадка,Чарльз Чаплин,Чарльз Чаплин,Чарльз Чаплин
Отточенное лезвие,Билли Боб Торнтон,Билли Боб Торнтон,Билли Боб Торнтон
Шарада,Кэри Грант,Стэнли Донен,Питер Стоун
Броненосец «Потемкин»,Александр Антонов,Сергей Эйзенштейн,Нина Агаджанова
История игрушек,Том Хэнкс,Джон Лассетер,Джон Лассетер
Бразилия,Джонатан Прайс,Терри Гиллиам,Терри Гиллиам
Приключения Робин Гуда,Эррол Флинн,Майкл Кёртиц,Норман Райли Рейн
Житие Брайана по Монти Пайтон,Грэм Чепмен,Терри Джонс,Грэм Чепмен
Трамвай «Желание»,Вивьен Ли,Элиа Казан,Теннесси Уильямс
Вечер в опере,Граучо Маркс,Сэм Вуд,Джордж С. Кауфман
Сука-любовь,Эмилио Эчеваррия,Алехандро Гонсалес Иньярриту,Гильермо Арриага
Свидетель обвинения,Тайрон Пауэр,Билли Уайлдер,Агата Кристи
Кто боится Вирджинии Вульф?,Элизабет Тейлор,Майк Николс,Эрнест Леман
Изгоняющий дьявола,Эллен Бёрстин,Уильям Фридкин,Уильям Питер Блэтти
"Человек, который застрелил Либерти Вэланса",Джон Уэйн,Джон Форд,Джеймс Уорнер Белла
Вся президентская рать,Дастин Хоффман,Алан Дж. Пакула,Карл Бернстин
Другие,Николь Кидман,Алехандро Аменабар,Алехандро Аменабар
"День, когда остановилась Земля",Майкл Ренни,Роберт Уайз,Эдмунд Х. Норт
Особое мнение,Том Круз,Стивен Спилберг,Скотт Фрэнк
Римские каникулы,Грегори Пек,Уильям Уайлер,Далтон Трамбо
Останься со мной,Уил Уитон,Роб Райнер,Стивен Кинг
Траффик,Майкл Дуглас,Стивен Содерберг,Саймон Мур
Собачий полдень,Аль Пачино,Сидни Люмет,Фрэнк Пирсон
Три цвета: Красный,Ирен Жакоб,Кшиштоф Кесьлёвский,Кшиштоф Кесьлёвский
12 обезьян,Брюс Уиллис,Терри Гиллиам,Крис Маркер
Парни что надо,Сэм Шепард,Филип Кауфман,Филип Кауфман
Тень сомнения,Тереза Райт,Альфред Хичкок,Торнтон Уайлдер
Убийство,Стерлинг Хейден,Стэнли Кубрик,Стэнли Кубрик
Полуночный ковбой,Дастин Хоффман,Джон Шлезингер,Уолдо Солт
Терминатор,Арнольд Шварценеггер,Джеймс Кэмерон,Джеймс Кэмерон
Земляничная поляна,Виктор Шёстрём,Ингмар Бергман,Ингмар Бергман
Харви,Джеймс Стюарт,Генри Костер,Мэри Чейз
Четыреста ударов,Жан-Пьер Лео,Франсуа Трюффо,Франсуа Трюффо
Эд Вуд,Джонни Депп,Тим Бёртон,Рудольф Грэй
Быть или не быть,Кэрол Ломбард,Эрнст Любич,Меньхерт Лендьель
Ганди,Бен Кингсли,Ричард Аттенборо,Джон Брайли
Лев зимой,Питер О’Тул,Энтони Харви,Джеймс Голдмен
На игле,Юэн Макгрегор,Дэнни Бойл,Ирвин Уэлш
Бонни и Клайд,Уоррен Битти,Артур Пенн,Дэвид Ньюман
Всё о моей матери,Сесилия Рот,Педро Альмодовар,Педро Альмодовар
Это — Spinal Tap,Майкл Маккин,Роб Райнер,Кристофер Гест
Человек дождя,Дастин Хоффман,Барри Левинсон,Бэрри Морроу
Телесеть,Питер Финч,Сидни Люмет,Пэдди Чайефски
"Носферату, симфония ужаса",Макс Шрек,Фридрих Вильгельм Мурнау,Хенрик Галеен
"Карты, деньги, два ствола",Джейсон Флеминг,Гай Ричи,Гай Ричи
Перекресток Миллера,Гэбриел Бирн,Джоэл Коэн,Джоэл Коэн
Дилижанс,Клер Тревор,Джон Форд,Эрнест Хейкокс
Генрих V: Битва при Азенкуре,Кеннет Брана,Кеннет Брана,Уильям Шекспир
Большой куш,Джейсон Стэйтем,Гай Ричи,Гай Ричи
День сурка,Билл Мюррей,Харольд Рэмис,Дэнни Рубин
Лора,Джин Тирни,Отто Преминджер,Вера Каспари
39 ступеней,Роберт Донат,Альфред Хичкок,Джон Бакен
Игры разума,Рассел Кроу,Рон Ховард,Акива Голдсман
Дорога,Энтони Куинн,Федерико Феллини,Федерико Феллини
Наёмный убийца,Чоу Юнь-Фат,Джон Ву,Джон Ву
Неприкасаемые,Кевин Костнер,Брайан Де Пальма,Дэвид Мэмет
Кинг Конг,Фэй Рэй,Мериан К. Купер,Джеймс Эшмор Крилмен
8 с половиной,Марчелло Мастроянни,Федерико Феллини,Федерико Феллини
Фантазия,Леопольд Стоковски,Норман Фергюсон,Джо Грант
Военно-полевой госпиталь,Дональд Сазерленд,Роберт Олтмен,Ричард Хукер
Стальной гигант,Эли Мариентал,Брэд Бёрд,Тим МакКэнлис
Умница Уилл Хантинг,Мэтт Дэймон,Гас Ван Сент,Мэтт Дэймон
Красавица и чудовище,Робби Бенсон,Гари Труздейл,Линда Вулвертон
Будучи там,Питер Селлерс,Хэл Эшби,Ежи Косинский
Планета обезьян,Чарлтон Хестон,Франклин Дж. Шаффнер,Майкл Уилсон
Клерки,Брайан О’Хэллоран,Кевин Смит,Кевин Смит
Инопланетянин,Генри Томас,Стивен Спилберг,Мелисса Мэтисон
Рио Браво,Джон Уэйн,Ховард Хоукс,Джулс Фёртмен
"О, где же ты, брат?",Джордж Клуни,Джоэл Коэн,Гомер
Полуночная жара,Сидни Пуатье,Норман Джуисон,Стирлинг Силлифант
Проклятый путь,Том Хэнкс,Сэм Мендес,Макс Аллан Коллинз
Тихий человек,Джон Уэйн,Джон Форд,Фрэнк С. Наджент
Избавление,Джон Войт,Джон Бурмен,Джеймс Дики
Белоснежка и семь гномов,Адриана Каселотти,Уильям Коттрелл,Якоб Гримм
Близкие контакты третьей степени,Ричард Дрейфусс,Стивен Спилберг,Стивен Спилберг
Тонкий человек,Уильям Пауэлл,В.С. Ван Дайк,Альберт Хэкетт
"Человек, которого не было",Билли Боб Торнтон,Джоэл Коэн,Джоэл Коэн
Большой Лебовски,Джефф Бриджес,Джоэл Коэн,Итан Коэн
Красная река,Джон Уэйн,Ховард Хоукс,Борден Чейз
Призрачный мир,Тора Бёрч,Терри Цвигофф,Дэниэл Клоуз
Мулен Руж,Николь Кидман,Баз Лурман,Баз Лурман
Птицы,Род Тейлор,Альфред Хичкок,Дафна Дю Морье
Жан де Флоретт,Ив Монтан,Клод Берри,Марсель Паньоль
Славное будущее,Иэн Холм,Атом Эгоян,Рассел Бэнкс
"Человек, который хотел быть королем",Шон Коннери,Джон Хьюстон,Джон Хьюстон
Отныне и во веки веков,Берт Ланкастер,Фред Циннеман,Дэниэл Тарадаш
Человек на все времена,Пол Скофилд,Фред Циннеман,Роберт Болт
Игра на вылет,Лоуренс Оливье,Джозеф Лео Манкевич,Энтони Шэффер
Можешь рассчитывать на меня,Лора Линни,Кеннет Лонерган,Кеннет Лонерган
Французский связной,Джин Хэкмен,Уильям Фридкин,Эрнест Тайдимен
Страсти Жанны д'Арк,Мария Фальконетти,Карл Теодор Дрейер,Джозеф Дельтель
Поля смерти,Сэм Уотерстон,Роланд Жоффе,Брюс Робинсон
Игрок,Тим Роббинс,Роберт Олтмен,Майкл Толкин
Схватка,Аль Пачино,Майкл Манн,Майкл Манн
И твою маму тоже,Марибель Верду,Альфонсо Куарон,Карлос Куарон
100 девчонок и одна в лифте,Джонатан Такер,Майкл Дэвис,Майкл Дэвис
15 минут славы,Роберт Де Ниро,Джон Херцфелд,Джон Херцфелд
Круглосуточные тусовщики,Стив Куган,Майкл Уинтерботтом,Фрэнк Коттрел Бойс
28 дней,Сандра Буллок,Бетти Томас,Сюзанна Грант
28 дней спустя,Киллиан Мерфи,Дэнни Бойл,Алекс Гарленд
Формула 51,Сэмюэл Л. Джексон,Ронни Юй,Стел Павлов
Шестой день,Арнольд Шварценеггер,Роджер Споттисвуд,Кормак Уибберли
8 женщин,Виржини Ледуайен,Франсуа Озон,Франсуа Озон
8 миля,Эминем,Кёртис Хэнсон,Скотт Сильвер
Мой мальчик,Хью Грант,Крис Вайц,Ник Хорнби
О Шмидте,Джек Николсон,Александр Пэйн,Луис Бегли
Адаптация,Николас Кейдж,Спайк Джонс,Сьюзэн Орлеан
Али,Уилл Смит,Майкл Манн,Грегори Аллен Ховард
И пришел паук,Морган Фриман,Ли Тамахори,Джеймс Паттерсон
Американский пирог 2,Джейсон Биггз,Джеймс Б. Роджерс,Адам Херц
Американский психопат,Кристиан Бэйл,Мэри Хэррон,Брет Истон Эллис
Анатомия,Франка Потенте,Штефан Рузовицки,Питер Энгельманн
Зверофабрика,Уиллем Дефо,Стив Бушеми,Эдвард Банкер
Юбилей,Алан Камминг,Алан Камминг,Дженнифер Джейсон Ли
Опасная правда,Райан Филипп,Питер Хауит,Ховард Франклин
Арарат,Шарль Азнавур,Атом Эгоян,Атом Эгоян
Искусственный разум,Хэйли Джоэл Осмент,Стивен Спилберг,Брайан Олдисс
Астерикс и Обеликс: Миссия Клеопатра,Жерар Депардье,Ален Шаба,Рене Госинни
Быстрый бегун,Натар Унгалаак,Захариас Кунук,Пол Апак Ангилирк
Атлантида: Затерянный мир,Кори Бертон,Гари Труздейл,Тэб Мёрфи
Остин Пауэрс: Голдмембер,Майк Майерс,Джей Роуч,Майк Майерс
Автофокус,Грег Кинниэр,Пол Шредер,Роберт Грейсмит
Авалон,Малгожата Форемняк,Мамору Осии,Кадзунори Ито
Замороченные,Дэймон Уайанс,Спайк Ли,Спайк Ли
Бандиты,Брюс Уиллис,Барри Левинсон,Харли Пейтон
Парикмахерская,Айс Кьюб,Тим Стори,Марк Браун
Королевская битва,Тацуя Фудзивара,Киндзи Фукасаку,Косюн Таками
Пока не наступит ночь,Хавьер Бардем,Джулиан Шнабель,Каннингэм О’Киф
В тылу врага,Оуэн Уилсон,Джон Мур,Джим Томас
Фанатик,Райан Гослинг,Генри Бин,Генри Бин
Победители шоу,Кристофер Гест,Кристофер Гест,Кристофер Гест
Большие неприятности,Тим Аллен,Барри Зонненфельд,Дэйв Барри
Билли Эллиот,Джейми Белл,Стивен Долдри,Ли Холл
Именинница,Николь Кидман,Джез Баттеруорт,Том Баттеруорт
Чёрный ястреб,Джош Хартнетт,Ридли Скотт,Марк Боуден
Блэйд 2,Уэсли Снайпс,Гильермо дель Торо,Марв Вольфман
Мерцающие огни,Сёрен Пильмарк,Андерс Томас Йенсен,Андерс Томас Йенсен
Кровавая работа,Клинт Иствуд,Клинт Иствуд,Майкл Коннелли
Кокаин,Джонни Депп,Тед Демме,Брюс Портер
Бойлерная,Джованни Рибизи,Бен Янгер,Бен Янгер
Чужой билет,Бен Аффлек,Дон Рус,Дон Рус
Идентификация Борна,Мэтт Дэймон,Даг Лайман,Тони Гилрой
Боулинг для Колумбины,Майкл Мур,Майкл Мур,Майкл Мур
Дневник Бриджит Джонс,Рене Зеллвегер,Шэрон Магуайр,Хелен Филдинг
Добейся успеха,Кирстен Данст,Пейтон Рид,Джессика Бендинджер
Клуб разбитых сердец: Романтическая комедия,Бен Вебер,Грег Берланти,Грег Берланти
Брат якудзы,Такеши Китано,Такеши Китано,Такеши Китано
Садист,Брэд Ренфро,Ларри Кларк,Джим Шатц
Выбор капитана Корелли,Николас Кейдж,Джон Мэдден,Шон Слово
Изгой,Том Хэнкс,Роберт Земекис,Уильям Бройлес мл.
Смерть в Голливуде,Кирстен Данст,Питер Богданович,Стивен Перос
Безумный Сесил Б.,Мелани Гриффит,Джон Уотерс,Джон Уотерс
Клетка,Дженнифер Лопес,Тарсем Сингх,Марк Протосевич
Авансцена,Аманда Шулл,Николас Хайтнер,Кэрол Хейккинен
В чужом ряду,Сэмюэл Л. Джексон,Роджер Мичелл,Чэп Тейлор
Ангелы Чарли,Кэмерон Диас,МакДжи,Райан Роу
Чикаго,Рене Зеллвегер,Роб Маршалл,Билл Кондон
Побег из курятника,Фил Дэниелс,Питер Лорд,Питер Лорд
Шоколад,Жюльет Бинош,Лассе Халльстрём,Джоанн Харрис
Взгляд изнутри,Винс Колосимо,Эндрю Доминик,Марк Брэндон Рид
Чак и Бак,Майк Уайт,Мигель Артета,Майк Уайт
Последнее дело Ламарки,Роберт Де Ниро,Майкл Кейтон-Джонс,Майк МакЭлари
Золотая пыль,Питер Муллан,Майкл Уинтерботтом,Фрэнк Коттрел Бойс
Признания опасного человека,Сэм Рокуэлл,Джордж Клуни,Чак Бэррис
Претендент,Гари Олдман,Род Лури,Род Лури
Граф Монте-Кристо,Джеймс Кэвизел,Кевин Рейнольдс,Александр Дюма отец
Безумные и прекрасные,Кирстен Данст,Джон Стокуэлл,Фил Хэй
Проклятие нефритового скорпиона,Вуди Аллен,Вуди Аллен,Вуди Аллен
Танцующая в темноте,Бьорк,Ларс фон Триер,Ларс фон Триер
Опасные игры,Эмиль Хирш,Питер Кэа,Крис Фюрман
Сорвиголова,Бен Аффлек,Марк Стивен Джонсон,Марк Стивен Джонсон
Яма,Тора Бёрч,Ник Хэмм,Гай Берт
Голливудский финал,Вуди Аллен,Вуди Аллен,Вуди Аллен
Часы,Николь Кидман,Стивен Долдри,Майкл Каннингем
Обитель радости,Джиллиан Андерсон,Теренс Дэвис,Эдит Уортон
Как отделаться от парня за 10 дней,Кейт Хадсон,Дональд Питри,Мишель Александр
Звериная натура,Патриша Аркетт,Мишель Гондри,Чарли Кауфман
Я — Сэм,Шон Пенн,Джесси Нельсон,Кристин Джонсон
Ледниковый период,Рэй Романо,Крис Уэдж,Майкл Дж. Уилсон
Идентификация,Джон Кьюсак,Джеймс Мэнголд,Майкл Куни
Игби идет ко дну,Киран Калкин,Бёрр Стирс,Бёрр Стирс
Как важно быть серьезным,Руперт Эверетт,Оливер Паркер,Оскар Уайльд
В спальне,Том Уилкинсон,Тодд Филд,Андре Дюбюс
Бессонница,Аль Пачино,Кристофер Нолан,Хиллари Сайц
Интим,Марк Райлэнс,Патрис Шеро,Ханиф Курейши
Айрис,Кейт Уинслет,Ричард Эйр,Джон Бэйли
Необратимость,Моника Беллуччи,Гаспар Ноэ,Гаспар Ноэ
Итальянский для начинающих,Андерс В. Бертельсен,Лоне Шерфиг,Мейв Бинчи
Чудаки,Джонни Ноксвил,Джефф Треймейн,Джефф Треймейн
Давай! Давай!,Фарес Фарес,Юсеф Фарес,Юсеф Фарес
Джей и Молчаливый Боб наносят ответный удар,Джейсон Мьюз,Кевин Смит,Кевин Смит
Джон Кью,Дензел Вашингтон,Ник Кассаветис,Джеймс Кернс
Ничего себе поездочка,Стив Зан,Джон Дал,Клэй Тэрвер
К-19,Харрисон Форд,Кэтрин Бигелоу,Луис Наура
Планета Ка-Пэкс,Кевин Спейси,Иэн Софтли,Джин Брюэр
Кейт и Лео,Мег Райан,Джеймс Мэнголд,Стивен Роджерс
Сохраняя веру,Бен Стиллер,Эдвард Нортон,Стюарт Блумберг
Малыш,Брюс Уиллис,Джон Тёртлтауб,Одри Уэллс
Поцелуй дракона,Джет Ли,Крис Наон,Джет Ли
Целуя Джессику Стейн,Дженнифер Уэстфелд,Чарльз Херман-Вёрмфелд,Хизер Юргенсен
История рыцаря,Хит Леджер,Брайан Хелгеленд,Брайан Хелгеленд
Принцесса и воин,Франка Потенте,Том Тыквер,Том Тыквер
Ложь,Пол Дано,Майкл Куэста,Стефен М. Райдер
Лантана,Энтони ЛаПалья,Рэй Лоуренс,Эндрю Бовелл
Последний замок,Роберт Редфорд,Род Лури,Дэвид Скарпа
Блондинка в законе,Риз Уизерспун,Роберт Лукетич,Аманда Браун
Легенда Багера Ванса,Уилл Смит,Роберт Редфорд,Стивен Прессфилд
Жизнь как дом,Кевин Клайн,Ирвин Уинклер,Марк Эндрус
Жизнь Дэвида Гейла,Кевин Спейси,Алан Паркер,Чарльз Рэндольф
Лиля навсегда,Оксана Акиньшина,Лукас Мудиссон,Лукас Мудиссон
Лило и Стич,Дэйви Чейз,Дин ДеБлуа,Крис Сандерс
Вас не догонят,Пайпер Перабо,Леа Пул,Сьюзен Суон
Любовь и баскетбол,Омар Эппс,Джина Принс-Байтвуд,Джина Принс-Байтвуд
Обаятельная и привлекательная,Трой Раптэш,Николь Холофсенер,Николь Холофсенер
Люсия и секс,Пас Вега,Хулио Медем,Хулио Медем
Всё схвачено!,Джон Фавро,Джон Фавро,Джон Фавро
Мажестик,Джим Керри,Фрэнк Дарабонт,Майкл Слоун
Малена,Моника Беллуччи,Джузеппе Торнаторе,Джузеппе Торнаторе
"Человек, который плакал",Кристина Риччи,Салли Поттер,Салли Поттер
Костолом,Винни Джонс,Барри Сколник,Трэйси Кинэн Винн
Знакомство с родителями,Бен Стиллер,Джей Роуч,Грег Глиенна
Военный ныряльщик,Роберт Де Ниро,Джордж Тиллман мл.,Скотт Маршалл Смит
Метрополис,Юка Имото,Ринтаро,Осаму Тэдзука
